set_code,name,population,index_value,eco_level
662,חוסן,997,0.754,7
813,עין יעקב,987,0.756,7
1173,לפידות,121,0.765,7
1219,גורנות הגליל,168,0.794,7
1130,כפר רוזנואלד (זרעית),249,0.796,7
755,גורן,441,0.838,7
1206,גיתה,266,0.862,7
774,צוריאל,312,0.907,7
1205,מנות,402,0.969,8
1081,אבן מנחם,264,1.043,8
570,מעונה,968,1.077,8
1314,נווה זיו,857,1.288,8
1208,הילה,575,1.3,8
1294,אור הגנוז,454,-1.648,1
607,מירון,898,-1.262,2
1338,כדיתה,162,-1.146,2
1191,בר יוחאי,921,-0.685,3
546,עין אל-אסד,866,-0.561,3
688,עלמה,679,-0.336,4
368,בירייה,822,-0.179,5
431,דלתון,869,-0.12,5
1214,טפחות,464,-0.091,5
605,כפר שמאי,460,0.084,5
1115,אביבים,496,0.192,6
846,שפר,361,0.245,6
609,כפר חושן,714,0.305,6
540,ריחאנייה,1201,0.312,6
1064,אמירים,789,0.427,6
1067,"דוב""ב",478,0.56,7
1047,חזון,311,0.585,7
527,שזור,304,0.632,7
1230,לבנים,421,0.737,7
1229,כלנית,195,0.757,7
664,כרם בן זמרה,445,0.786,7
1297,כפר חנניה,669,0.793,7
599,פרוד,455,1.086,8
1212,עמוקה,125,1.883,9
709,תפרח,2156,-1.846,1
2021,אשל הנשיא,244,-1.687,1
2050,"תלמי ביל""ו",452,0.162,6
750,פדויים,471,0.173,6
2048,ניר עקיבא,702,0.204,6
749,פטיש,857,0.271,6
2059,"פעמי תש""ז",504,0.312,6
762,בטחה,721,0.37,6
736,גילת,1323,0.548,7
71,אשבול,490,0.551,7
2049,שדה צבי,588,0.558,7
789,רנן,608,0.656,7
1080,מבועים,1161,0.708,7
748,מסלול,778,0.782,7
414,קלחים,589,0.891,7
2047,ניר משה,527,1.099,8
1335,ערב אל נעים,733,-2.09,1
1317,דמיידה,463,-1.669,1
1332,חוסנייה,651,-1.362,2
1245,סלמה,3083,-1.286,2
1331,כמאנה,1415,-1.056,2
1334,ראס אל-עין,351,-0.991,2
1203,הררית,412,0.658,7
1178,מורשת,1424,0.735,7
1188,אשחר,790,0.821,7
1171,לוטם,694,0.869,7
1112,יודפת,710,0.897,7
1172,תובל,297,0.904,7
1163,מורן,427,1.01,8
1275,אבטליון,381,1.036,8
1272,חלוץ,464,1.088,8
1202,מכמנים,443,1.103,8
1201,כמון,1357,1.117,8
1209,חרשים,290,1.134,8
1180,צביה,310,1.248,8
1207,לבון,658,1.274,8
1235,שורשים,476,1.53,8
1181,טל-אל,1110,1.623,8
1222,"מצפה אבי""ב",978,1.624,9
1160,שכניה,740,1.635,9
1221,צורית,763,1.762,9
1174,מנוף,794,1.81,9
1228,רקפת,905,1.848,9
1179,קורנית,868,1.906,9
917,עצמון שגב,1069,1.919,9
1138,יעד,710,1.961,9
1226,יובלים,1081,1.966,9
1204,גילון,1082,2.078,9
1348,ביר הדאג',4583,-3.11,1
1347,קצר א-סר,1406,-2.367,1
1342,אבו קורינאת (יישוב),1218,-2.221,1
440,יסודות,907,-1.788,1
2033,בית חלקיה,888,-1.415,2
577,יד בנימין,3833,-0.217,4
1372,נצר חזני,377,0.18,6
588,בני ראם,1353,0.346,6
363,חפץ חיים,503,0.461,6
1371,גני טל,645,0.506,7
264,שער הגולן,558,-0.167,5
273,עין גב,631,-0.135,5
57,כנרת (קבוצה),671,-0.034,5
188,אשדות יעקב (מאוחד),496,0.065,5
143,בית זרע,547,0.166,6
374,חוקוק,539,0.184,6
176,אפיקים,1460,0.186,6
1105,פורייה - נווה עובד,1114,0.204,6
262,גינוסר,562,0.24,6
702,האון,184,0.28,6
678,מעגן,353,0.331,6
199,אשדות יעקב (איחוד),922,0.41,6
62,דגניה א',530,0.443,6
719,תל קציר,343,0.469,6
79,דגניה ב',643,0.502,7
263,מסדה,345,0.544,7
1104,פורייה - כפר עבודה,371,0.608,7
1313,פורייה עילית,909,0.867,7
330,אלומות,321,0.934,7
63,כנרת (מושבה),627,1.24,8
1125,אלמגור,349,1.468,8
304,שדה אליהו,686,-1.038,2
383,"עין הנצי""ב",609,-0.475,3
1282,מירב,670,-0.361,4
2016,רוויה,375,-0.244,4
268,טירת צבי,752,-0.231,4
439,שלוחות,473,0.028,5
298,מסילות,425,0.038,5
265,בית יוסף,433,0.098,5
296,נווה איתן,324,0.154,6
1127,מעלה גלבוע,671,0.161,6
854,רחוב,356,0.163,6
2026,ירדנה,344,0.224,6
1283,תל תאומים,513,0.405,6
48,מנחמיה,999,0.482,6
305,גשר,416,0.5,6
2057,שדי תרומות,433,0.505,7
256,ניר דוד (תל עמל),653,0.579,7
295,כפר רופין,404,0.595,7
590,נווה אור,330,0.689,7
343,חמדיה,396,0.707,7
437,רשפים,734,0.757,7
259,שדה נחום,569,0.77,7
272,מעוז חיים,461,0.81,7
1318,מבואות ים,481,-1.869,1
186,נעורים,248,-1.155,2
897,מדרשת רופין,480,-0.391,4
252,ביתן אהרן,361,-0.103,5
197,מעברות,962,0.119,5
217,"כפר הרא""ה",1390,0.312,6
224,שושנת העמקים,518,0.444,6
872,גאולי תימן,369,0.466,6
204,אלישיב,728,0.543,7
173,גבעת חיים (מאוחד),978,0.586,7
167,עין החורש,744,0.599,7
422,חרב לאת,850,0.62,7
194,משמר השרון,552,0.7,7
850,אחיטוב,1062,0.788,7
235,חבצלת השרון,553,0.793,7
2018,גבעת חיים (איחוד),1057,0.873,7
1319,בת חפר,5448,1.129,8
2043,בחן,931,1.138,8
377,המעפיל,796,1.142,8
698,בורגתה,1128,1.18,8
423,העוגן,844,1.187,8
680,אומץ,782,1.246,8
758,יד חנה,800,1.32,8
205,חגלה,831,1.365,8
1361,בת חן,422,1.385,8
697,בארותיים,1116,1.395,8
737,עולש,1067,1.414,8
233,כפר ידידיה,754,1.496,8
807,חניאל,931,1.531,8
219,חיבת ציון,657,1.581,8
175,אביחיל,1395,1.581,8
193,כפר חיים,600,1.587,8
382,מכמורת,1334,1.596,8
373,בית הלוי,813,1.602,8
1102,צוקי ים,270,1.657,9
387,כפר מונש,949,1.659,9
191,הדר עם,599,1.686,9
734,גן יאשיה,976,1.701,9
326,בית יצחק-שער חפר,2105,1.706,9
200,בית ינאי,419,1.75,9
877,בית חירות,881,1.756,9
115,חופית,739,1.77,9
190,כפר ויתקין,2017,1.781,9
1077,גבעת שפירא,398,1.878,9
942,סואעד (חמרייה),159,-1.884,1
994,מנשית זבדה,1212,-0.916,2
106,כפר גדעון,332,-0.538,3
142,שדה יעקב,1133,0.207,6
457,גזית,650,0.356,6
436,עין דור,972,0.401,6
1249,הרדוף,921,0.475,6
407,דברת,329,0.512,7
285,אלונים,470,0.587,7
126,שריד,811,0.62,7
80,נהלל,962,0.639,7
66,מרחביה (קיבוץ),1136,0.702,7
104,מזרע,608,0.716,7
92,גיניגר,646,0.784,7
134,יפעת,1023,0.791,7
132,כפר ברוך,518,0.898,7
135,רמת דוד,463,0.96,7
140,כפר יהושע,1107,1.012,8
1330,אחוזת ברק,2095,1.06,8
1186,הושעיה,1929,1.199,8
103,תל עדשים,1418,1.214,8
133,גבת,849,1.254,8
1257,חנתון,794,1.284,8
94,בלפוריה,435,1.293,8
192,כפר החורש,607,1.308,8
97,מרחביה (מושב),664,1.363,8
684,היוגב,632,1.379,8
613,ציפורי,832,1.437,8
248,בית שערים,747,1.442,8
677,הסוללים,907,1.55,8
1337,שמשית,2594,1.645,9
1182,אלון הגליל,1003,1.69,9
430,בית לחם הגלילית,777,1.691,9
1199,עדי,1860,1.884,9
429,אלוני אבא,1000,1.906,9
1288,גבעת אלה,1911,2.166,9
1244,תמרת,1332,2.229,9
696,"כפר חב""ד",5968,-0.522,3
797,אחיעזר,1647,-0.394,4
798,יגל,901,0.285,6
594,צפרייה,924,0.293,6
788,זיתן,1045,0.309,6
801,חמד,1131,0.439,6
729,משמר השבעה,987,1.605,8
836,גנות,623,1.644,9
331,ניר צבי,1275,1.672,9
3785,משכיות,206,-1.148,2
3782,רותם,168,-1.022,2
3607,"ייט""ב",279,-0.888,2
3646,חמדת,233,-0.546,3
3606,גלגל,171,-0.402,4
3613,גיתית,376,-0.068,5
3578,שדמות מחולה,553,0.193,6
3566,יפית,149,0.211,6
3599,מחולה,471,0.292,6
3609,חמרה,127,0.756,7
3614,מכורה,141,0.774,7
3619,רועי,162,0.904,7
3598,ארגמן,133,1.022,8
3612,בקעות,182,1.359,8
3605,משואה,148,1.393,8
3615,פצאל,250,1.519,8
3555,נתיב הגדוד,181,1.543,8
3558,תומר,247,1.689,9
354,רביבים,1035,-0.54,3
1340,מרחב עם,333,-0.409,4
885,שדה בוקר,440,-0.282,4
1278,באר מילכה,150,-0.236,4
421,משאבי שדה,441,-0.095,5
1260,רתמים,415,0.298,6
1152,אשלים,449,0.74,7
1140,מדרשת בן גוריון,1787,0.84,7
1291,כמהין,159,0.852,7
1280,ניצני סיני,259,0.912,7
1177,טללים,399,0.924,7
1083,תושייה,1014,-0.591,3
803,יושיביה,524,-0.539,3
1146,עלומים,470,-0.416,4
415,שוקדה,405,-0.089,5
419,סעד,760,-0.056,5
2044,מלילות,276,-0.055,5
2064,זרועה,352,-0.038,5
761,שובה,570,0.008,5
1065,זמרת,458,0.115,5
2014,גבעולים,326,0.179,6
1082,מעגלים,1969,0.188,6
865,שיבולים,308,0.215,6
398,שרשרת,293,0.247,6
723,בית הגדי,729,0.258,6
1095,כפר מימון,296,0.547,7
665,תקומה,649,1.17,8
3762,איתמר,1305,-1.355,2
3749,יצהר,1380,-1.211,2
3710,ברכה,2267,-0.967,2
3579,אלון מורה,1794,-0.59,3
3572,כפר תפוח,970,-0.555,3
3571,שבי שומרון,879,-0.223,4
3793,אבני חפץ,1709,-0.209,4
3569,מבוא דותן,364,-0.156,5
3717,חרמש,219,-0.055,5
3751,מגדלים,269,-0.017,5
3744,ברוכין,719,-0.009,5
3795,רבבה,1974,0.012,5
3712,ענב,711,0.07,5
3822,רחלים,583,0.101,5
3643,חיננית,1089,0.132,5
3746,קריית נטפים,865,0.142,5
3790,נופים,638,0.311,6
3647,יקיר,1863,0.316,6
3768,פדואל,1622,0.343,6
3727,עלי זהב,1300,0.348,6
3637,מעלה שומרון,1015,0.489,6
3778,עץ אפרים,1822,0.539,7
3568,ריחן,213,0.556,7
3791,צופים,1976,0.65,7
3649,שקד,851,0.742,7
3654,ברקן,1741,0.966,8
3720,שערי תקווה,5638,0.966,8
3567,סלעית,693,1.675,9
338,איבים,277,-2.401,1
811,יכיני,665,0.327,6
336,דורות,756,0.733,7
714,ארז,487,0.799,7
844,נחל עוז,377,0.804,7
348,ניר עם,491,0.868,7
362,רוחמה,568,0.897,7
424,גבים,520,1.014,8
668,מפלסים,971,1.027,8
67,אור הנר,708,1.137,8
428,ברור חיל,880,1.151,8
845,כפר עזה,705,1.273,8
766,קוממיות,534,-2.572,1
1145,אלומה,502,-1.004,2
37,איתן,432,-0.423,3
620,משואות יצחק,705,-0.401,4
400,אבן שמואל,1535,-0.39,4
818,זרחיה,693,-0.347,4
15,נועם,358,-0.282,4
873,שלווה,430,-0.267,4
826,עוזה,449,-0.199,4
815,זבדיאל,470,-0.16,5
2051,רווחה,525,-0.087,5
1098,מרכז שפירא,2179,0.147,5
622,עין צורים,746,0.17,6
692,שפיר,842,0.696,7
2042,עין גדי,561,-0.093,5
1124,נאות הכיכר,411,0.924,7
1251,עין תמר,190,1.538,8
1054,תל שבע,18671.15054,-2.311875527,1
1286,שגב-שלום,9119.109277,-2.271463674,1
1192,ערערה-בנגב,15813.14104,-2.24515357,1
1303,חורה,19371.39141,-2.117710012,1
3797,מודיעין עילית,64179.40872,-2.098993451,1
1059,כסיפה,19024.57685,-2.090107526,1
1060,לקיה,11781.23121,-1.960902277,1
3780,ביתר עילית,49343.38772,-1.935948373,1
1161,רהט,62374.74242,-1.915178104,1
3660,עמנואל,3253.398649,-1.606767462,2
541,ג'סר א-זרקא,13961.63354,-1.485896163,2
1309,אלעד,44872.12025,-1.435780866,2
922,רכסים,10681.79678,-1.414507042,2
510,כפר מנדא,18509.19298,-1.372687387,2
2710,אום אל-פחם,52499.68835,-1.32656352,2
6100,בני ברק,181832.3813,-1.307301636,2
511,עילוט,7582.276672,-1.268100997,2
998,ביר אל-מכסור,8709.093164,-1.241231198,2
2610,בית שמש,103629.6989,-1.214082441,2
522,נחף,12145.2378,-1.210425567,2
538,שעב,6624.751835,-1.197850604,2
1327,מעלה עירון,14139.67241,-1.193473924,2
483,בענה,7917.526469,-1.18848714,2
532,עין מאהל,12483.86592,-1.176576475,2
975,זרזיר,7460.181828,-1.142446943,2
482,בועיינה-נוג'ידאת,9113.835253,-1.140720961,2
509,כפר כנא,21131.60909,-1.139423069,2
4001,בוקעאתא,6328.767466,-1.132824516,2
1326,"בסמ""ה",8914.131332,-1.131609986,2
520,משהד,7858.240356,-1.095256601,2
8000,צפת,33330.06621,-1.078573898,2
1137,קריית יערים,3935.609038,-1.075869357,2
627,ג'לג'וליה,9275.501317,-1.066235925,2
4502,עין קנייא,1945.445284,-1.030108556,2
962,טובא-זנגרייה,6270.122895,-1.028846257,2
4203,מסעדה,3519.690951,-1.022844496,2
8900,טמרה,32048.19251,-1.003643584,2
1292,ג'דיידה-מכר,20078.10459,-0.9992427,2
531,עראבה,24071.79537,-0.996662265,2
978,כעביה-טבאש-חג'אג'רה,4978.260336,-0.994819361,2
504,כאבול,13208.89553,-0.985379198,2
638,קלנסווה,21451.41016,-0.97384607,2
4501,ע'ג'ר,2484.496868,-0.968880585,2
481,מגאר,21650.26261,-0.967981678,2
537,פוריידיס,12389.2875,-0.937877411,2
3000,ירושלים,863794.7408,-0.919311732,2
516,מג'ד אל-כרום,14574.21509,-0.913845344,2
944,בסמת טבעון,7506.915856,-0.904192044,2
542,ריינה,18445.18941,-0.901928763,2
498,טורעאן,13336.89526,-0.859709324,3
2730,טייבה,40841.62587,-0.848465918,3
46,יבנאל,3955.677372,-0.844026872,3
913,שבלי - אום אל-גנם,5694.458064,-0.831629689,3
499,יפיע,18233.81182,-0.822546146,3
502,ירכא,15871.5102,-0.821231278,3
1296,כסרא-סמיע,8176.755872,-0.821218943,3
490,דייר אל-אסד,11715.73975,-0.812533891,3
4201,מג'דל שמס,10642.70187,-0.80032742,3
3611,קריית ארבע,7108.316885,-0.796080653,3
492,דייר חנא,9830.766564,-0.789399156,3
634,כפר קאסם,21847.98736,-0.786335592,3
478,אכסאל,13645.67873,-0.779777357,3
8800,שפרעם,39883.3709,-0.768148712,3
529,אעבלין,12586.72909,-0.766890894,3
472,אבו גוש,6894.604873,-0.761582624,3
7500,סח'נין,29315.9548,-0.76113566,3
473,אבו סנאן,13357.66996,-0.752621923,3
637,ערערה,23996.06579,-0.75163331,3
633,כפר ברא,3354.201311,-0.723951582,3
6000,באקה אל-גרביה,28083.34618,-0.714852701,3
3574,בית אל,6046.060603,-0.705595366,3
31,אופקים,25613.70166,-0.697525001,3
246,נתיבות,31234.44308,-0.693225652,3
489,דבורייה,9888.748729,-0.61877674,3
1247,חריש,968.9495119,-0.602528091,3
505,כאוכב אבו אל-היג'א,3356.054234,-0.600548195,3
525,סאג'ור,4013.734507,-0.597298986,3
480,בית ג'ן,11425.85661,-0.596897894,3
7300,נצרת,75703.35506,-0.591670602,3
99,מצפה רמון,4996.67184,-0.583897765,3
1290,זמר,6485.958654,-0.574014173,3
1034,קריית מלאכי,21450.62183,-0.54400523,3
1295,יאנוח-ג'ת,6252.867332,-0.521224771,3
7000,לוד,72578.18627,-0.491231081,3
831,ירוחם,9078.386134,-0.484832228,3
517,מזרעה,3649.459974,-0.421560805,4
2034,חצור הגלילית,8834.281375,-0.416238387,4
6700,טבריה,41813.50482,-0.415889119,4
7600,עכו,47427.4545,-0.389556949,4
2560,ערד,24312.67111,-0.389477206,4
2720,טירה,24776.48386,-0.385711781,4
496,חורפיש,6076.759667,-0.385541647,4
485,ג'ולס,6117.884213,-0.377887997,4
2630,קריית גת,51248.40718,-0.357749415,4
654,כפר קרע,17639.66353,-0.314713815,4
543,ראמה,7432.962729,-0.30514717,4
534,עספיא,11784.63687,-0.30039072,4
2200,דימונה,33021.11592,-0.299886887,4
8500,רמלה,71206.51045,-0.278179356,4
494,דאלית אל-כרמל,16778.42706,-0.26687107,4
874,מגדל העמק,24864.8159,-0.251905203,4
628,ג'ת,11164.03015,-0.233085051,4
9200,בית שאן,17332.37026,-0.192659903,5
1031,שדרות,23074.7358,-0.164754543,5
507,כפר יאסיף,9475.166619,-0.154398818,5
70,אשדוד,219590.0179,-0.140288586,5
536,פקיעין (בוקייעה),5585.346875,-0.12678506,5
4100,קצרין,6913.322254,-0.107751984,5
2100,טירת כרמל,19316.93198,-0.090432666,5
530,עיילבון,5470.776747,-0.083226049,5
3608,מעלה אפרים,1205.842315,-0.065437374,5
6200,בת ים,128639.4921,-0.062286737,5
7700,עפולה,44686.91034,-0.045678671,5
7100,אשקלון,130088.3533,-0.037592117,5
9600,קריית ים,39134.45384,-0.034707568,5
1020,אור עקיבא,17080.75214,-0.023585113,5
1061,נצרת עילית,40076.78713,0.003591311,5
2800,קריית שמונה,23055.38085,0.01586467,5
1063,מעלות-תרשיחא,21179.97011,0.022128668,5
65,מגדל,1685.140455,0.023207352,5
3557,קדומים,4337.648202,0.028132796,5
3730,גבעת זאב,16123.41626,0.03199561,5
9000,באר שבע,201813.756,0.034026254,5
508,כפר כמא,3188.008531,0.098872934,5
1066,"בני עי""ש",6919.177272,0.107092238,5
2400,אור יהודה,36067.58968,0.171429307,6
469,קריית עקרון,10717.88943,0.182028851,6
535,פסוטה,3025.501398,0.188630299,6
7400,נתניה,206793.0213,0.198508152,6
3640,קרני שומרון,6905.359002,0.20432104,6
812,שלומי,6099.226683,0.213845361,6
6800,קריית אתא,55242.1474,0.2281717,6
6500,חדרה,88256.76057,0.264642401,6
1139,כרמיאל,44755.86322,0.268156221,6
2600,אילת,49707.44811,0.277103725,6
3616,מעלה אדומים,37423.93382,0.34209221,6
487,ג'ש (גוש חלב),3077.898935,0.366375405,6
41,אליכין,3424.353505,0.378729216,6
3570,אריאל,18717.07298,0.385363594,6
9100,נהרייה,54305.18756,0.393006248,6
3650,אפרת,8301.162163,0.425035285,6
6600,חולון,188636.734,0.501538214,7
9500,קריית ביאליק,39017.76052,0.512673483,7
4000,חיפה,277736.3418,0.528802824,7
2660,יבנה,42313.72537,0.553888875,7
8200,קריית מוצקין,40159.52489,0.56592555,7
518,מעיליא,3094.663442,0.618383944,7
2640,ראש העין,42575.22281,0.638130379,7
8400,רחובות,132509.4256,0.641215229,7
7900,פתח תקווה,229845.2813,0.655990049,7
565,אזור,12095.0658,0.660274494,7
466,בית דגן,7098.968204,0.662105471,7
7800,פרדס חנה-כרכור,37424.47095,0.693437092,7
2550,גדרה,25820.78103,0.694964538,7
2500,נשר,23419.49277,0.711447534,7
2530,באר יעקב,18273.4145,0.734664739,7
166,גן יבנה,22294.05788,0.775308128,7
240,יקנעם עילית,21382.88675,0.811682014,7
168,כפר יונה,21610.92786,0.814613493,7
26,ראש פינה,2908.349226,0.825405274,7
8300,ראשון לציון,243328.9865,0.846846045,7
3560,אלקנה,3944.765181,0.863212653,7
3652,בית אריה,4720.994576,0.904014559,7
9400,יהוד,29145.40754,1.017470249,8
8600,רמת גן,152112.1085,1.053429437,8
681,גבעת שמואל,25298.3691,1.067018446,8
43,מטולה,1613.994595,1.081604861,8
1015,מבשרת ציון,24294.88846,1.100677952,8
29,יסוד המעלה,1644.448845,1.148435771,8
3750,אלפי מנשה,7637.608391,1.165734649,8
6900,כפר סבא,96508.94936,1.175994917,8
9300,זכרון יעקב,22347.42896,1.186580822,8
5000,תל אביב-יפו,431708.2146,1.207843071,8
195,קדימה-צורן,20408.43311,1.208135709,8
28,מזכרת בתיה,12698.30009,1.250953325,8
2300,קריית טבעון,17607.01444,1.261625365,8
8700,רעננה,70285.32909,1.272839154,8
6400,הרצלייה,91620.99702,1.290979727,8
3760,אורנית,8495.015643,1.292936912,8
7200,נס ציונה,46534.85582,1.308945285,8
1200,מודיעין-מכבים-רעות,88747.90333,1.335687294,8
9800,בנימינה-גבעת עדה,14550.27136,1.339275887,8
229,גני תקווה,16042.08715,1.357689597,8
47,כפר תבור,3796.219222,1.369692875,8
122,רמת ישי,7477.811499,1.397306412,8
154,תל מונד,11940.77421,1.403461389,8
171,פרדסייה,5562.882268,1.453282096,8
6300,גבעתיים,57492.93143,1.455150287,8
9700,הוד השרון,56266.53632,1.512136281,8
2620,קריית אונו,37714.01574,1.518669701,8
182,אבן יהודה,13125.22405,1.535258717,8
1268,מיתר,7341.137116,1.552219614,8
1263,כפר ורדים,5445.708918,1.649145303,9
1304,שוהם,20403.307,1.67386113,9
2650,רמת השרון,44340.01066,1.724368466,9
3769,הר אדר,3858.099351,1.767860151,9
1224,כוכב יאיר,9053.694702,1.863095844,9
666,עומר,7339.363176,1.934828006,9
1271,להבים,6442.498144,2.005167521,9
267,כפר שמריהו,1785.114878,2.521515887,10
587,סביון,3704.545315,2.5899498,10
